Date,Name,cum_return,cum_return_pct
2020-01,JKSE,0.0,0.0
2020-02,JKSE,-0.08198653198653194,-8.198653198653194
2020-03,JKSE,-0.23585858585858577,-23.585858585858578
2020-04,JKSE,-0.20606060606060594,-20.606060606060595
2020-05,JKSE,-0.19966329966329954,-19.966329966329955
2020-06,JKSE,-0.1742424242424241,-17.424242424242408
2020-07,JKSE,-0.1329966329966329,-13.299663299663289
2020-08,JKSE,-0.11818181818181794,-11.818181818181795
2020-09,JKSE,-0.18013468013467993,-18.013468013467993
2020-10,JKSE,-0.13670033670033654,-13.670033670033654
2020-11,JKSE,-0.05521885521885517,-5.521885521885517
2020-12,JKSE,0.0065656565656566634,0.6565656565656663
2021-01,JKSE,-0.013131313131313105,-1.3131313131313105
2021-02,JKSE,0.05084175084175091,5.084175084175091
2021-03,JKSE,0.007744107744107831,0.7744107744107831
2021-04,JKSE,0.00942760942760934,0.942760942760934
2021-05,JKSE,0.0011784511784509455,0.11784511784509455
2021-06,JKSE,0.007575757575757347,0.7575757575757347
2021-07,JKSE,0.02188552188552162,2.188552188552162
2021-08,JKSE,0.035353535353535026,3.5353535353535026
2021-09,JKSE,0.058417508417508035,5.8417508417508035
2021-10,JKSE,0.10959595959595925,10.959595959595925
2021-11,JKSE,0.09999999999999964,9.999999999999964
2021-12,JKSE,0.10791245791245774,10.791245791245775
2022-01,JKSE,0.11632996632996617,11.632996632996617
2022-02,JKSE,0.1595959595959593,15.95959595959593
2022-03,JKSE,0.19040404040404013,19.040404040404013
2022-04,JKSE,0.21700336700336664,21.700336700336663
2022-05,JKSE,0.20353535353535301,20.3535353535353
2022-06,JKSE,0.16363636363636314,16.363636363636314
2022-07,JKSE,0.1702020202020198,17.020202020201978
2022-08,JKSE,0.2085858585858582,20.85858585858582
2022-09,JKSE,0.18535353535353494,18.535353535353494
2022-10,JKSE,0.1951178451178448,19.51178451178448
2022-11,JKSE,0.19208754208754186,19.208754208754186
2022-12,JKSE,0.15336700336700315,15.336700336700314
2023-01,JKSE,0.15134680134680112,15.134680134680112
2023-02,JKSE,0.15202020202020194,15.202020202020194
2023-03,JKSE,0.14562289562289554,14.562289562289553
2023-04,JKSE,0.16430976430976418,16.43097643097642
2023-05,JKSE,0.1166666666666667,11.66666666666667
2023-06,JKSE,0.12154882154882163,12.154882154882163
2023-07,JKSE,0.16683501683501678,16.683501683501678
2023-08,JKSE,0.17053872053872055,17.053872053872055
2023-09,JKSE,0.16835016835016847,16.835016835016848
2023-10,JKSE,0.13670033670033677,13.670033670033677
2023-11,JKSE,0.1920875420875423,19.20875420875423
2023-12,JKSE,0.22441077441077462,22.44107744107746
2020-01,KLSE,0.0,0.0
2020-02,KLSE,-0.03135205747877201,-3.135205747877201
2020-03,KLSE,-0.11757021554539515,-11.757021554539515
2020-04,KLSE,-0.08033964728935339,-8.033964728935338
2020-05,KLSE,-0.03788373612018292,-3.788373612018292
2020-06,KLSE,-0.019595035924232507,-1.9595035924232507
2020-07,KLSE,0.04768125408229906,4.768125408229906
2020-08,KLSE,-0.003919007184846612,-0.39190071848466124
2020-09,KLSE,-0.01698236446766821,-1.698236446766821
2020-10,KLSE,-0.04180274330502942,-4.180274330502942
2020-11,KLSE,0.0209013716525146,2.09013716525146
2020-12,KLSE,0.06270411495754402,6.270411495754402
2021-01,KLSE,0.02286087524493796,2.286087524493796
2021-02,KLSE,0.030698889614630964,3.0698889614630964
2021-03,KLSE,0.028086218158066556,2.8086218158066556
2021-04,KLSE,0.04637491835401697,4.637491835401697
2021-05,KLSE,0.034617896799477466,3.4617896799477466
2021-06,KLSE,0.001306335728282093,0.1306335728282093
2021-07,KLSE,-0.02351404310907912,-2.351404310907912
2021-08,KLSE,0.04572175048987592,4.572175048987592
2021-09,KLSE,0.004572175048987548,0.4572175048987548
2021-10,KLSE,0.020248203788373553,2.0248203788373553
2021-11,KLSE,-0.011103853690398457,-1.1103853690398457
2021-12,KLSE,0.024167210973220055,2.4167210973220055
2022-01,KLSE,-0.012410189418680662,-1.2410189418680662
2022-02,KLSE,0.05029392553886347,5.029392553886347
2022-03,KLSE,0.036577400391900605,3.6577400391900605
2022-04,KLSE,0.045068582625734654,4.5068582625734654
2022-05,KLSE,0.025473546701502148,2.5473546701502148
2022-06,KLSE,-0.05682560418027449,-5.68256041802745
2022-07,KLSE,-0.025473546701502592,-2.547354670150259
2022-08,KLSE,-0.012410189418680884,-1.2410189418680884
2022-09,KLSE,-0.08883082952318766,-8.883082952318766
2022-10,KLSE,-0.04637491835401708,-4.637491835401708
2022-11,KLSE,-0.02743305029392562,-2.743305029392562
2022-12,KLSE,-0.02351404310907912,-2.351404310907912
2023-01,KLSE,-0.02939255388634887,-2.939255388634887
2023-02,KLSE,-0.05029392553886358,-5.029392553886359
2023-03,KLSE,-0.07054212932723725,-7.054212932723725
2023-04,KLSE,-0.0751143043762248,-7.511430437622479
2023-05,KLSE,-0.09405617243631625,-9.405617243631625
2023-06,KLSE,-0.10058785107772705,-10.058785107772705
2023-07,KLSE,-0.04702808621815824,-4.702808621815824
2023-08,KLSE,-0.0516002612671459,-5.160026126714589
2023-09,KLSE,-0.0698889614630962,-6.98889614630962
2023-10,KLSE,-0.058131939908556696,-5.81319399085567
2023-11,KLSE,-0.05094709340300474,-5.094709340300474
2023-12,KLSE,-0.049640757674722646,-4.964075767472265
2020-01,PSEI,0.0,0.0
2020-02,PSEI,-0.05735314539647274,-5.735314539647273
2020-03,PSEI,-0.26107485071517844,-26.107485071517843
2020-04,PSEI,-0.2083044021663658,-20.830440216636582
2020-05,PSEI,-0.18914039716706021,-18.91403971670602
2020-06,PSEI,-0.13789751423413432,-13.789751423413431
2020-07,PSEI,-0.1767810026385226,-17.678100263852258
2020-08,PSEI,-0.18289126510206932,-18.289126510206934
2020-09,PSEI,-0.18566865713095426,-18.566865713095424
2020-10,PSEI,-0.1217886404666021,-12.178864046660209
2020-11,PSEI,-0.056936536592140374,-5.693653659214037
2020-12,PSEI,-0.00847104568809931,-0.847104568809931
2021-01,PSEI,-0.08165532564921574,-8.165532564921573
2021-02,PSEI,-0.05638105818636341,-5.63810581863634
2021-03,PSEI,-0.10526315789473728,-10.526315789473728
2021-04,PSEI,-0.11526176919872277,-11.526176919872277
2021-05,PSEI,-0.07957228162755214,-7.957228162755214
2021-06,PSEI,-0.04152201083182938,-4.152201083182938
2021-07,PSEI,-0.12928759894459152,-12.928759894459152
2021-08,PSEI,-0.04804888209970892,-4.804888209970892
2021-09,PSEI,-0.034439661158173096,-3.4439661158173096
2021-10,PSEI,-0.020274961810860304,-2.0274961810860304
2021-11,PSEI,-6.661338147750939e-16,-6.661338147750939e-14
2021-12,PSEI,-0.010831828912651664,-1.0831828912651664
